"position.page","position.position","position.global_position","asin","price.discounted","price.current_price","price.currency","price.before_price","price.savings_amount","price.savings_percent","reviews.total_reviews","reviews.rating","url","score","sponsored","amazonChoice","bestSeller","amazonPrime","title","thumbnail"
1,1,1,"B08GGDT47N",false,0,"USD",0,0,0,1456,4.7,"https://www.amazon.com/dp/B08GGDT47N","6843.20",false,false,false,false,"Xbox One S","https://m.media-amazon.com/images/I/61p7CnmDNlL._AC_UY218_.jpg"
1,2,2,"B08G9J44ZN",false,0,"USD",0,0,0,7337,4.7,"https://www.amazon.com/dp/B08G9J44ZN","34483.90",false,false,false,false,"Xbox Series S","https://m.media-amazon.com/images/I/71NBQ2a52CL._AC_UY218_.jpg"
1,3,3,"B074WPGYRF",false,719.5,"USD",0,0,0,5330,4.6,"https://www.amazon.com/dp/B074WPGYRF","24518.00",false,false,false,false,"Microsoft Xbox One X 1Tb Console With Wireless Controller: Xbox One X Enhanced, Hdr, Native 4K, Ultra Hd (Discontinued)","https://m.media-amazon.com/images/I/61ux1cU49XL._AC_UY218_.jpg"
1,4,4,"B096NCZ9G2",true,39.88,"USD",59.99,20.11,33.52,378,4.6,"https://www.amazon.com/dp/B096NCZ9G2","1738.80",false,false,true,false,"Madden NFL 22 - Xbox One","https://m.media-amazon.com/images/I/61omsKhOlPS._AC_UY218_.jpg"
1,5,5,"B01BV13S7S",true,109.99,"USD",149.99,40,26.67,48639,4.8,"https://www.amazon.com/dp/B01BV13S7S","233467.20",false,false,false,false,"Seagate (STEA4000402) Game Drive for Xbox 4TB External Hard Drive Portable HDD – Designed for Xbox One ,Green","https://m.media-amazon.com/images/I/81dGAGz+BQL._AC_UY218_.jpg"
1,6,6,"B08ZNQN1FP",false,0,"USD",0,0,0,50236,4.7,"https://www.amazon.com/dp/B08ZNQN1FP","236109.20",false,false,false,false,"Xbox Wireless Controller – Electric Volt for Xbox Series X|S, Xbox One, and Windows 10 Devices","https://m.media-amazon.com/images/I/61JNP8M84fS._AC_UY218_.jpg"
1,7,7,"B098Y92BLD",true,39.99,"USD",59.99,20,33.34,112,4.7,"https://www.amazon.com/dp/B098Y92BLD","526.40",false,false,false,false,"NBA 2K22 - Xbox One","https://m.media-amazon.com/images/I/81-UyihCc8L._AC_UY218_.jpg"
1,8,8,"B08WFD42G5",false,0,"USD",0,0,0,1886,4.6,"https://www.amazon.com/dp/B08WFD42G5","8675.60",false,false,false,false,"Xbox Wireless Headset for Xbox Series X|S, Xbox One, and Windows 10 Devices","https://m.media-amazon.com/images/I/51ODvrKqxTL._AC_UY218_.jpg"
1,10,10,"B095JNZGC4",false,44.99,"USD",0,0,0,621,4.5,"https://www.amazon.com/dp/B095JNZGC4","2794.50",false,false,false,false,"PowerA Spectra Infinity Enhanced Wired Controller for Xbox Series X|S, Gamepad, Wired Video Game Controller, Gaming Contro...","https://m.media-amazon.com/images/I/710YJoU9evS._AC_UY218_.jpg"
1,12,12,"B0859XT328",false,0,"USD",0,0,0,50236,4.7,"https://www.amazon.com/dp/B0859XT328","236109.20",false,false,true,false,"Xbox Wireless Controller – Pulse Red","https://m.media-amazon.com/images/I/51z1NgSEjgL._AC_UY218_.jpg"
1,14,13,"B08D44W56B",false,99.95,"USD",0,0,0,18655,4.5,"https://www.amazon.com/dp/B08D44W56B","83947.50",false,false,false,false,"Turtle Beach Stealth 600 Gen 2 Wireless Gaming Headset for Xbox Series X & Xbox Series S, Xbox One, & Windows 10 PCs with ...","https://m.media-amazon.com/images/I/61iHiW114KL._AC_UY218_.jpg"
1,15,14,"B087VM5XC6",false,475.05,"USD",0,0,0,3980,4.7,"https://www.amazon.com/dp/B087VM5XC6","18706.00",false,false,false,false,"Xbox Series S - 512GB SSD Console with Wireless Controller - EU Version with US Power Cable","https://m.media-amazon.com/images/I/61-x29sqlpS._AC_UY218_.jpg"
1,16,15,"B09FKH9QCT",false,59.99,"USD",0,0,0,8,3.8,"https://www.amazon.com/dp/B09FKH9QCT","30.40",false,false,false,false,"FIFA 22: Standard Edition - Xbox [Digital Code]","https://m.media-amazon.com/images/I/71REkQgP8vL._AC_UY218_.jpg"
1,18,17,"B08K2Y2KQN",false,0,"USD",0,0,0,2017,4.6,"https://www.amazon.com/dp/B08K2Y2KQN","9278.20",false,false,false,false,"Microsoft Xbox Wireless Controller + USB-C Cable - Xbox","https://m.media-amazon.com/images/I/51n+2Ioj4jL._AC_UY218_.jpg"
